user_id,occurred_at,experiment,experiment_group,location,device,user_type
4.0,2014-06-05 15:20:16,publisher_update,control_group,India,lenovo thinkpad,3.0
8198.0,2014-06-11 09:31:32,publisher_update,control_group,Japan,nokia lumia 635,1.0
11.0,2014-06-17 09:31:22,publisher_update,control_group,United States,iphone 4s,1.0
8209.0,2014-06-04 09:31:21,publisher_update,test_group,Turkey,nokia lumia 635,1.0
19.0,2014-06-04 09:31:33,publisher_update,test_group,Nigeria,iphone 5,1.0
20.0,2014-06-18 09:31:29,publisher_update,control_group,Italy,samsung galaxy s4,2.0
22.0,2014-06-02 10:57:04,publisher_update,test_group,Germany,lenovo thinkpad,1.0
8216.0,2014-06-11 09:31:22,publisher_update,control_group,South Africa,iphone 5,1.0
30.0,2014-06-19 09:31:12,publisher_update,test_group,Australia,dell inspiron desktop,2.0
8232.0,2014-06-03 00:10:13,publisher_update,control_group,Nigeria,dell inspiron desktop,3.0
1373.0,2014-06-03 14:51:36,publisher_update,control_group,Greece,dell inspiron notebook,1.0
8240.0,2014-06-07 08:49:51,publisher_update,test_group,United States,nexus 7,3.0
49.0,2014-06-02 09:31:29,publisher_update,control_group,United States,hp pavilion desktop,2.0
8242.0,2014-06-19 09:31:26,publisher_update,control_group,United States,iphone 4s,3.0
59.0,2014-06-02 09:31:45,publisher_update,control_group,Taiwan,macbook air,1.0
64.0,2014-06-23 09:31:29,publisher_update,control_group,Turkey,acer aspire notebook,2.0
8258.0,2014-06-02 17:22:13,publisher_update,test_group,Switzerland,iphone 4s,1.0
8259.0,2014-06-05 09:31:28,publisher_update,test_group,United Kingdom,acer aspire notebook,2.0
8268.0,2014-06-19 09:31:23,publisher_update,test_group,United States,samsung galaxy s4,3.0
78.0,2014-06-17 09:31:26,publisher_update,test_group,United States,acer aspire notebook,2.0
8273.0,2014-06-12 09:31:26,publisher_update,control_group,Brazil,iphone 5,2.0
83.0,2014-06-04 09:31:19,publisher_update,control_group,United Kingdom,amazon fire phone,1.0
8277.0,2014-06-27 09:31:43,publisher_update,control_group,United Kingdom,macbook pro,2.0
86.0,2014-06-04 09:14:27,publisher_update,control_group,India,dell inspiron notebook,1.0
8279.0,2014-06-13 09:31:18,publisher_update,test_group,United States,acer aspire notebook,3.0
98.0,2014-06-19 09:31:23,publisher_update,control_group,Brazil,dell inspiron notebook,2.0
101.0,2014-06-06 16:25:05,publisher_update,control_group,Netherlands,lenovo thinkpad,1.0
8302.0,2014-06-27 09:30:58,publisher_update,control_group,United States,ipad mini,3.0
8305.0,2014-06-06 09:31:43,publisher_update,control_group,Japan,samsung galaxy s4,1.0
10942.0,2014-06-23 09:31:06,publisher_update,control_group,Germany,macbook pro,3.0
8312.0,2014-06-27 09:31:33,publisher_update,test_group,Japan,iphone 4s,3.0
124.0,2014-06-30 09:31:17,publisher_update,control_group,Germany,macbook air,3.0
8317.0,2014-06-27 09:31:19,publisher_update,test_group,France,dell inspiron notebook,1.0
128.0,2014-06-01 11:07:10,publisher_update,control_group,Russia,lenovo thinkpad,2.0
2752.0,2014-06-04 09:31:05,publisher_update,test_group,Brazil,ipad air,2.0
8325.0,2014-06-23 09:31:50,publisher_update,control_group,Japan,dell inspiron notebook,2.0
134.0,2014-06-02 09:31:45,publisher_update,control_group,Japan,iphone 5,1.0
136.0,2014-06-01 07:32:11,publisher_update,control_group,Spain,lenovo thinkpad,1.0
